A,B,C,D,E,F
500132988503,0.81,,,802071633953,0.18
500132988047,2.99,,,802546986674,0.15
500132988052,0.22,,,802546981591,0.25
500132955524,0.89,,,100348077096,0.29
500132988499,0.53,,,880134638986091358,0.2
500132988049,0.71,,,100348094846,0.15
500132988505,0.52,,,802071637584,0.06
500132955529,0.89,,,802071637501,0.06
500132955525,0.35,,,802071639871,0.3
500132988506,2.52,,,802071633573,0.05
500132988055,1.93,,,100363312469,0.95
500132988045,0.48,,,802546959830,0.2
500132988114,1.42,,,802071637234,0.1
500132988500,0.06,,,100348064809,0.2
560006355714,0.06,,,100348109671,0.5
100360197667,0.2,,,100325345818,1.5
500132988200,0.92,,,100348084391,0.05
500132988498,0.93,,,802071641483,0.06
500132988507,0.05,,,500132971011,0.2
500132988502,0.14,,,100348098168,0.45
500132988205,9.9,,,500127330136,5.6
500132988190,13.77,,,100348095340,0.07
500132988191,21.58,,,500132985080,0.06
100360418997,0.35,,,802473202477,0.1
500132988196,4.73,,,880134679673354984,0.2
560079866711,2.64,,,802632780750,0.1
500132988204,3.87,,,802632787025,0.25
500132988192,6.91,,,802265557614,0.5
100363327329,1.77,,,200171838270,5.4
560067719665,2.13,,,802473198951,0.15
500132988195,2.76,,,100348079240,2.54
100363327363,0.67,,,100348095300,0.21
100363327333,0.4,,,802546947150,0.1
200166974975,13.39,,,802071634798,0.1
100363327358,0.56,,,801919685670,0.15
500132988201,0.06,,,100348077903,0.9
100363327350,0.57,,,802473201641,0.15
100363327328,0.65,,,802071636473,0.15
100363327355,0.63,,,880134965445253974,0.08
560067719664,2.84,,,802473199099,0.1
500132988197,13.37,,,802546959623,0.1
500132988194,33.26,,,802546982776,0.05
100363327334,1.32,,,880152370795031752,0.55
100363327354,0.22,,,802633018175,0.1
100363327352,0.94,,,802632851317,0.1
100363327361,1.13,,,880144338897425691,0.1
200166959998,1.39,,,100348084129,0.05
500132988198,3.97,,,802633062154,0.1
560067719663,2.18,,,802633066116,0.08
100363327366,0.48,,,802720912363,0.3
500132988203,5.28,,,802720825241,0.05
100363327335,0.72,,,802367164373,0.05
100363327375,0.5,,,802720896578,0.1
100363327336,0.72,,,802633068138,0.1
100363327357,0.51,,,802720920788,0.05
100363327380,0.55,,,802632916661,0.25
100363327365,0.16,,,500132995143,0.25
100363327351,0.15,,,100325332145,0.8
500132958918,0.12,,,802632928128,0.45
100363327360,0.49,,,802632928739,0.1
560067719666,1.79,,,500132995241,0.05
500132958876,1.54,,,802633065415,0.08
100363327362,0.49,,,880146304400657914,0.8
500133889296,0.97,,,500147988219,0.05
100363327359,0.49,,,802720989990,0.1
100363327372,0.14,,,500133889630,0.36
100363327353,0.14,,,802824912681,0.3
500132988622,0.97,,,100348095861,0.55
100363327369,0.15,,,802720980327,0.02
500132988199,0.7,,,880154242924253974,0.35
100363327373,0.14,,,802632792092,0.1
100363326420,0.36,,,100360188328,0.4
100363327364,0.5,,,500132955957,0.65
500132988189,0.51,,,802633069266,0.15
100363327370,0.11,,,100360196791,1.2
100363327356,0.5,,,100348098177,2.25
100363327371,0.48,,,802633077465,0.2
500132988202,0.6,,,200171826695,0.05
100363327374,0.14,,,802632932900,0.15
100363327381,0.69,,,802720907382,0.14
500132988193,0.3,,,802720905116,0.05
100363327902,0.3,,,500147988592,0.05
100363327901,0.58,,,802632794214,0.02
200166959966,0.21,,,500132955636,0.55
100363327903,0.32,,,802824941589,0.08
100363327368,0.83,,,802720828686,0.14
200166959999,0.3,,,802720980542,0.14
100363327367,0.49,,,802632928906,0.15
200166959997,0.24,,,802632684583,0.15
200166960000,0.3,,,802720939544,0.15
500147982944,0.63,,,802720808853,0.15
100360197998,0.2,,,802720812783,0.1
100360197661,0.39,,,802720911001,0.15
500147982879,0.24,,,500132985811,0.45
100360197993,0.29,,,802720953038,0.14
100360197992,0.2,,,802633062280,0.1
500147982883,0.59,,,802633046101,0.08
100360197444,0.15,,,802633052490,0.08
100360197994,0.2,,,802633048898,0.15
100360197660,0.22,,,802720973407,0.14
100360197443,0.26,,,802720892115,0.1
500147982959,0.14,,,802633047025,0.1
600093465198,2.29,,,802632989977,0.08
600093465195,3.64,,,802633008290,0.1
100360197746,1.5,,,880151483074233772,0.35
500147982958,1.58,,,802720889913,0.16
100360197662,0.22,,,500132955671,0.23
100360197999,0.08,,,802720850433,0.14
500147982956,1.0,,,802720943832,0.05
100360197591,0.17,,,880147745760405499,0.2
500147982953,0.65,,,500132966722,0.12
100360197597,0.21,,,802632925770,0.18
100360197901,0.6,,,880145397743980247,1
500147982993,0.67,,,802720903816,0.1
500147982962,0.67,,,100363329912,0.2
500147982881,0.49,,,802720889758,0.2
500147982880,0.79,,,802633073829,0.1
500147982995,0.28,,,802632795430,0.05
100360197875,1.34,,,802632889747,0.15
500147982900,0.33,,,200166959817,0.06
500147982966,0.35,,,100363326762,0.73
500147982996,0.17,,,100201754957,0.32
500147982994,0.31,,,802720830989,0.1
500147982960,0.28,,,802720907960,0.15
500147982882,1.15,,,802720902915,0.15
600093465194,0.28,,,802632752011,0.06
100306973681,0.07,,,100360418644,0.25
100360197743,0.21,,,100360194546,1.7
500147982964,0.35,,,100348098799,0.45
100360197745,0.77,,,8968323357,0.1
100360197376,0.17,,,802632797076,0.05
500147982991,0.45,,,802720842066,0.15
100360189006,0.36,,,500147988653,0.04
100360189005,0.54,,,802546970490,0.4
100360189007,0.53,,,802720831930,0.15
100360189011,1.69,,,802720892997,0.1
D00017352798,6.14,,,802632874353,0.1
200172544826,0.37,,,500133889486,0.55
200172544844,0.1,,,802720913091,0.15
200171826169,0.28,,,500132955977,0.35
500133889206,1.24,,,500132950976,0.2
200172544812,0.71,,,500132955699,1.59
100306955915,31.36,,,802720912499,0.1
200172544019,0.25,,,802632794967,0.1
200172544016,0.25,,,802720881024,0.15
200172544018,0.25,,,802546972669,0.25
200172544021,0.25,,,100360196529,0.4
100348083588,8.52,,,802720938702,0.1
200172544008,0.25,,,802824946609,0.16
200172544009,0.25,,,802546976008,0.35
200172544017,0.25,,,802720842330,0.05
200172544020,0.25,,,200166959976,0.36
560093847352,19.48,,,802367164226,0.05
500132958786,0.19,,,100348098221,0.35
200172544824,0.26,,,802720944466,0.25
100348083272,1.15,,,802720813214,0.1
200172544866,0.07,,,802720848170,0.1
500132958930,0.29,,,880151339534445893,0.88
500133889885,0.99,,,802632772372,0.05
200171826178,0.46,,,802720953735,0.05
200172544842,0.32,,,880144932594940843,0.15
200172544811,0.66,,,802632905627,0.05
200172544820,0.74,,,802720908064,0.15
500132958777,0.49,,,802633057692,0.08
200172544808,0.49,,,100348095738,0.4
200172544884,0.22,,,802720818910,0.15
560093847333,0.94,,,100363334063,0.86
500133889207,2.86,,,802633043689,0.2
100348093209,4.41,,,802632908248,0.15
560093847476,0.28,,,802720936567,0.15
200172544810,4.35,,,100348098820,0.15
100306955313,0.65,,,802720920163,0.05
100348093791,2.67,,,802720849055,0.15
100348083585,1.53,,,200166959947,0.48
200172544801,0.11,,,802546976434,0.1
200172544806,0.11,,,802720922683,0.1
200172544805,0.11,,,802632923178,0.15
200172544807,0.11,,,100348098212,1.64
500132958699,0.11,,,802720858970,0.15
560093847487,0.58,,,802633021535,0.1
200172544802,0.11,,,802367166263,0.1
560093847478,0.05,,,560067735228,0.73
200172544809,0.11,,,802720923078,0.05
560093847482,0.83,,,880148337079334782,0.8
200172544819,0.11,,,802632742158,0.5
560093847024,0.11,,,802720923866,0.1
100348093002,0.41,,,880146261798162065,0.25
100348093001,0.41,,,802824941641,0.08
100348093036,0.41,,,500148572876,0.55
100306955933,0.52,,,802632794715,0.1
560093847474,0.61,,,880144070741304489,0.15
100306955918,0.13,,,100363304038,0.58
100293641800,0.86,,,802632734044,0.34
200172544841,0.23,,,802632938085,0.2
200172544875,0.22,,,802633072659,0.14
100306955919,0.29,,,802720967744,0.08
200172544877,1.34,,,802632926400,0.16
560093847492,0.34,,,802720966669,0.15
100363326652,0.1,,,100360196515,1.75
560093847480,0.61,,,802633014177,0.1
560093847236,0.45,,,200172544010,0.2
560093847483,1.16,,,200171833554,0.15
560093847491,0.25,,,802720969781,0.1
100306955944,0.38,,,802824923434,0.1
560093847332,2.1,,,200166959894,0.29
560093847023,0.2,,,100363304052,3
200172482258,0.52,,,200166983194,0.3
560093847486,0.95,,,100348077949,0.45
200172482373,0.55,,,802633078040,0.06
560093847025,0.18,,,100360194759,0.35
200172482402,0.54,,,802824911591,0.1
200172482568,0.04,,,500132962702,0.7
560093847479,0.28,,,500132953952,0.15
100363326738,0.05,,,802632936042,0.2
500132997372,0.13,,,802824906008,0.14
560093847488,0.95,,,500132971617,0.5
560093847485,0.05,,,500132971590,2.25
100363334892,0.28,,,100325348263,0.5
560093847351,0.1,,,802632759014,0.1
560093847233,0.24,,,802632921987,0.15
500132997261,0.53,,,802633057296,0.08
560093847489,0.82,,,802633010819,0.14
100363334895,0.3,,,500147990823,0.3
560093847880,0.12,,,802720913449,0.15
560093847878,0.13,,,802720967096,0.08
200172482567,0.05,,,802720956723,0.1
500132997821,0.04,,,600037999536,0.15
200172482570,0.16,,,802632790165,0.06
560093847873,0.12,,,802720903053,0.15
500132997823,0.04,,,802633022255,0.25
500132997791,0.04,,,802632987329,0.25
560093847870,0.13,,,500132958724,0.31
200172482404,0.88,,,500132955854,2.51
D00017352800,0.19,,,802633014429,0.19
100363334885,0.27,,,802824908819,0.05
500147975103,0.72,,,100325332103,0.8
500147975105,0.28,,,802720806846,0.15
560079881809,0.72,,,880152487725102469,0.65
100363334954,0.19,,,880152097938273176,0.15
500147975079,0.19,,,802367164409,0.5
500147975083,1.22,,,100348098049,1.05
100325938259,0.17,,,802720821682,0.1
500147975087,0.79,,,802720984799,0.1
500147975104,0.46,,,100325315558,0.28
100363334887,0.27,,,802632740328,0.7
500147975109,0.51,,,802632799410,0.05
500147975108,0.2,,,500132971352,23.05
D00011350488,0.08,,,880149469442910540,0.4
200172482397,0.22,,,D00017352584,0.85
560093847234,0.26,,,100325335782,0.55
500147975107,0.38,,,100363342387,0.25
200172482429,0.15,,,802547008510,0.15
D00017352799,0.31,,,100325919112,6.55
500147975082,0.6,,,802824902310,0.12
100363334889,0.27,,,100325319914,0.3
500147975013,0.64,,,880147864372839732,0.3
560093847871,0.13,,,802720924966,0.2
560079881606,0.44,,,880153051520546803,0.4
100363334894,0.31,,,500147999199,4.15
560093847875,0.13,,,500132966721,0.21
200172482394,0.07,,,802632768323,0.14
560093847877,0.12,,,802633064477,0.08
100363334893,0.28,,,880148656807203479,0.14
560093847879,0.21,,,802720838703,0.05
500147975106,0.18,,,802720980561,0.1
500147975090,0.99,,,100363334728,0.15
100363334882,0.3,,,802824908553,0.15
100363334896,0.3,,,100363326126,4.7
500147975091,1.14,,,802720856892,0.04
560093847876,0.14,,,802632824566,0.15
500147975094,0.57,,,100348079315,0.28
560093847872,0.14,,,100374194443,0.7
200172482396,0.43,,,802633048602,0.05
500147975075,0.75,,,880149807897849833,0.25
500147975100,1.64,,,100360418347,0.15
100363334884,0.3,,,802824948240,0.08
500147975098,0.31,,,200172513034,0.15
100363334891,0.27,,,802633069790,0.15
500147975009,1.03,,,200166959965,0.78
D00017352802,0.11,,,802720803067,0.16
100363334886,0.27,,,802824920599,0.15
500147975095,0.35,,,100246989681,14.39
500147975017,0.37,,,802720889166,0.1
500147975099,0.78,,,802632739241,0.85
560093847468,0.94,,,802824917656,0.3
500147975078,0.15,,,802633016530,0.15
500147975086,0.96,,,500132988148,0.35
100363334832,0.17,,,802720953601,0.05
D00011350489,1.78,,,100360187408,0.76
560093847043,0.17,,,500132958987,9.95
200172482089,0.15,,,802720916879,0.12
200171831312,0.03,,,802720945680,0.05
200172482406,0.45,,,500148572822,0.5
560093842203,1.07,,,500132955855,0.45
200171831311,0.03,,,802632798363,0.1
560093847003,1.11,,,802633067442,0.22
200172482087,0.09,,,802824924339,0.25
200171831876,0.58,,,802824945079,0.2
500127319018,0.17,,,100360196721,1.35
200172482094,0.17,,,880149840743708429,0.85
500127319019,0.07,,,802720946185,0.1
500132966826,2.81,,,802633055916,0.1
200172482247,0.15,,,560093847355,0.08
100130652554,1.9,,,560079875993,0.21
100363334833,0.08,,,802720912922,0.15
500132966609,0.36,,,600066058377,2.25
100286971240,0.27,,,100363327239,0.11
500132966631,0.05,,,802720962188,0.15
500132966040,0.19,,,802720943123,0.1
500132966617,0.15,,,880148923941687217,0.28
200172482403,1.51,,,880149840751415590,0.85
500132966594,0.55,,,802720926959,0.05
100363334675,0.36,,,802633059505,0.08
500132966741,0.26,,,802824901830,0.1
100286971095,0.63,,,802720963187,0.06
100374188504,0.6,,,802720979076,0.14
100363334961,0.19,,,802720904477,0.2
500132966691,0.09,,,802633021803,0.2
500132966143,0.36,,,802632740881,0.95
500132966618,0.44,,,802720969565,0.1
500132966589,2.49,,,802633067829,0.08
500132966923,0.46,,,100374194559,0.15
500132966742,0.44,,,880149225853788227,0.35
500132966629,0.37,,,802720960940,0.05
100374188565,1.0,,,802720821178,0.12
500132966916,0.78,,,802633040987,0.14
100374188931,0.3,,,802633071362,0.08
500132966608,0.28,,,500132985826,8.05
500132966712,0.09,,,802720985773,0.15
200172482417,1.87,,,880143200373990348,0.4
500132966044,0.33,,,500132985825,6
500132966142,0.62,,,880150303532960045,0.35
560093842510,0.31,,,802720799046,0.1
200172482246,0.3,,,802720947990,0.06
560093842511,0.25,,,802632782972,0.05
100130652555,1.02,,,802633044851,0.15
560093847464,0.31,,,100374198059,0.35
200172482365,0.95,,,802633046836,0.08
500132966658,0.22,,,802720872384,0.15
500132966924,1.57,,,802720941600,0.12
200166997878,0.19,,,802720804171,0.18
500132966606,0.12,,,802720981728,0.16
500132966630,0.91,,,500132988160,0.4
100363334881,0.5,,,802720898874,0.15
500132966588,0.28,,,802720945949,0.1
200172482276,0.64,,,100374194736,0.59
200166997711,0.23,,,802720795422,0.05
500127326949,0.26,,,560070480197,0.49
200172482398,0.2,,,802632794607,0.1
200172482430,0.33,,,802720795594,0.05
200172482280,0.05,,,880152128962405499,0.3
560093847473,0.64,,,802720945882,0.05
100306955935,0.41,,,802720918479,0.15
200172482421,0.18,,,802633084663,0.1
560093847450,0.26,,,880153795047950944,0.16
560093847027,0.47,,,500147988677,0.1
200172482414,0.33,,,802720912796,0.1
200172482415,0.46,,,802546975991,0.25
560093847475,3.14,,,802546975991,0.25
200172482416,0.12,,,802720921141,0.15
560093847469,2.06,,,802720902744,0.15
200164193139,0.36,,,802824900361,0.15
200171831855,1.82,,,802546976150,0.25
200172482395,0.58,,,802720898410,0.1
560093847472,0.17,,,560093847412,0.35
200172482408,0.21,,,500132950985,0.45
560093847477,0.14,,,802547086710,0.2
560093847235,0.16,,,802633068846,0.18
100293609918,0.53,,,802632784810,0.04
100306955654,0.35,,,802632772213,0.1
560093847026,0.22,,,802632735226,0.45
200172482372,0.71,,,880151411584940843,1.14
200172482409,0.34,,,100360188684,1.1
100306955912,0.21,,,802367164137,0.05
100363334500,0.65,,,802547009076,0.15
D00017352803,0.1,,,560070455147,0.16
200171831851,1.8,,,802720895995,0.15
500132997260,0.21,,,500127319769,4.3
560093847042,0.09,,,802632871334,0.06
D00017352801,0.11,,,802720974068,0.16
560093847467,0.65,,,802720977733,0.15
200172482412,0.36,,,600066068977,0.15
560093847470,1.4,,,802632837980,0.15
100306955934,0.13,,,802720910768,0.1
100201753664,0.28,,,500147999449,0.25
560093847041,0.3,,,802720911418,0.15
500132997792,0.06,,,802632923118,0.05
200172482248,0.66,,,880150341115263075,0.85
200171831796,0.19,,,500147999443,0.2
500132997824,0.05,,,802547009307,0.15
500132997790,0.07,,,500133889430,0.2
200172482390,0.67,,,802633040254,0.08
200166997069,0.87,,,802720879566,0.15
560093847471,0.45,,,802824904985,0.2
200166997712,0.19,,,802720981635,0.1
200172482399,0.49,,,802824923942,0.4
200172482369,1.54,,,8968323109,0.04
D00017352804,0.1,,,802720955020,0.14
500127326879,2.39,,,500132955500,0.25
100325938220,0.37,,,802720793659,0.15
200171831854,3.71,,,100348097321,2.05
200172544859,1.2,,,802633022078,0.2
200172482387,1.76,,,880150811106667015,0.2
100363334314,21.49,,,D00008118510,2.5
200172482401,0.84,,,802633007624,0.1
200172544872,1.59,,,802632923028,0.3
100363334955,0.11,,,500132950021,0.21
100363334009,1.48,,,802633065027,0.14
200172482405,0.2,,,880149352255869035,0.2
200172544873,26.68,,,880151087579556904,0.4
100260667632,0.05,,,880148060836071156,0.2
500133889069,26.68,,,100360194487,0.15
500132958713,26.68,,,802633071102,0.15
100360187390,0.26,,,802720902007,0.15
560079876477,0.48,,,100374198038,2.9
560079876682,0.22,,,200172482237,1.45
100360187314,1.1,,,802720881546,0.15
100360187391,0.48,,,802824914813,0.15
200172482092,2.08,,,802720792617,0.05
560066288536,8.67,,,802632954787,0.1
560079876474,0.46,,,802632796355,0.1
100360187288,0.27,,,802632923077,0.8
560079876783,0.83,,,802720879324,0.14
100374194507,0.1,,,802720934944,0.15
500132958917,16.76,,,802720920301,0.05
560079876758,1.15,,,100348095985,0.45
200171826199,0.28,,,100046635598,0.1
600046288980,15.09,,,802720824465,0.08
200172544641,0.28,,,100360188852,0.15
200172482283,10.58,,,500147998022,0.25
100363334651,0.06,,,802633073116,0.08
100360187312,0.92,,,802546975242,0.15
200172544643,0.21,,,802633084977,0.04
200172482282,15.66,,,100360196361,0.55
100363334959,0.52,,,802632939365,0.05
200172544510,0.1,,,802720870348,0.1
200172482112,0.14,,,802367164827,0.35
560079876476,0.18,,,802720802920,0.16
200172482543,0.05,,,802720924180,0.15
200172482411,0.23,,,500132958899,0.35
200172544506,0.17,,,802546977825,0.25
100360187264,0.32,,,880149453532263075,0.5
100360187313,0.3,,,880149074546324681,0.1
100360187233,0.22,,,802824924134,0.3
200172482391,0.78,,,802632791588,0.05
100360187308,0.31,,,802824916948,0.25
200172544644,0.24,,,802632923002,0.3
100360187121,0.23,,,500148572801,0.5
500127319008,7.36,,,802633062166,0.15
100360187126,0.12,,,100348098443,0.1
100360187124,0.13,,,500132988402,1
200172544637,0.11,,,802720946938,0.05
100360187356,0.79,,,802632923127,0.15
560079876757,0.37,,,802367166319,0.1
500132995487,7.9,,,100348092190,0.34
200172482407,0.14,,,802720934453,0.1
200172544437,0.57,,,802720930696,0.1
100363334957,0.11,,,802633051992,0.08
500132995436,1.6,,,802633022470,0.15
100286500526,2.98,,,802547007380,0.2
100325933775,2.64,,,802720944757,0.1
100360187132,0.19,,,500132966896,0.63
500132995439,1.0,,,100360188222,5.5
560079876478,0.46,,,802720919626,0.15
500132995438,1.1,,,802824923627,0.15
100360187309,0.64,,,880153683484122661,0.3
500132958610,0.66,,,100348098235,1.15
500132995488,4.1,,,802720919447,0.1
500132997373,0.14,,,100360194981,0.6
500132995607,0.25,,,802632935986,0.2
500132995605,0.15,,,802632779328,0.1
200172482410,0.4,,,802633022249,0.15
100360187397,1.72,,,802824908592,0.1
200172482281,0.18,,,802633015145,0.1
500132995611,0.3,,,802824921900,0.25
500132997434,0.37,,,802720804398,0.14
100360187129,0.26,,,802633083387,0.1
500132995260,0.25,,,802720986703,0.15
200172482259,0.23,,,100363326514,0.12
500132995262,0.25,,,500132953901,0.2
100360187119,0.36,,,802632788296,0.04
500132995437,0.05,,,802633078004,0.16
100360187357,0.41,,,802720896187,0.05
200171826208,0.08,,,802633016760,0.1
560079876804,0.28,,,802720957030,0.1
200172544210,0.22,,,802720946456,0.15
100325318685,0.45,,,100325345906,4.35
500132995261,0.25,,,802720849637,0.38
100360187128,0.34,,,802720964304,0.2
100360187130,0.13,,,802824911045,0.3
500132995606,0.15,,,500132985804,0.35
500132995545,0.6,,,802632817052,0.05
100360187125,0.13,,,802632864828,0.14
500132995610,0.15,,,880149423754748823,0.16
500132995608,0.15,,,802720867604,0.1
100363304720,0.3,,,802547144759,0.16
200172482260,20.82,,,D00017352399,0.9
500132995544,2.25,,,802720947565,0.05
500132995614,0.15,,,880151142247304489,0.3
500132995603,0.15,,,802720941211,0.15
100363304816,0.16,,,880151103359708429,0.1
500132995609,0.15,,,200171831423,0.07
100363304719,0.5,,,100325345907,3.6
100360187133,0.13,,,802720885753,0.15
200172544396,1.11,,,802633072484,0.08
500132997773,0.11,,,802720961040,0.05
100363304771,0.64,,,802720901215,0.04
500132995602,0.15,,,802824919380,0.3
200172544178,0.34,,,100360197353,0.8
100363304117,5.78,,,802720947756,0.2
500132995604,0.15,,,802720980806,0.1
100360187122,0.14,,,802720941545,0.1
200172544192,0.48,,,500148572647,5.4
500132995612,0.15,,,880152026793203479,0.7
100363334962,0.11,,,802632782746,0.08
500132995435,1.5,,,802720983870,0.06
500132995613,0.25,,,802632996361,0.04
100360187118,0.13,,,802824940924,0.18
500132995259,0.25,,,802632770115,0.04
200172482479,0.25,,,802546960192,0.25
100363304121,0.02,,,500147990644,0.05
500132995263,0.25,,,802632786002,0.15
100363334965,0.21,,,802632798871,0.05
100363304104,0.8,,,802824940470,0.3
100200893712,0.26,,,880151232086192368,0.2
100363304113,2.16,,,802720954188,0.1
500132995615,0.2,,,880149785712071156,0.42
100363334678,0.1,,,802546970369,0.25
200172482088,0.94,,,802824923029,0.1
100363304118,12.0,,,100363304805,0.45
100363304116,5.14,,,802720877731,0.15
200171831328,0.18,,,802720923756,0.1
100363304677,0.58,,,802824904124,0.08
200172544212,0.27,,,802632927929,0.35
100293625307,0.44,,,802633061739,0.08
200172482480,0.16,,,500133889378,0.81
100363304107,1.58,,,200166959981,0.21
100363334462,0.06,,,500133889330,0.4
200172544502,0.12,,,200172513008,0.45
100363304110,0.9,,,500132985185,0.6
100360187117,3.62,,,802633064365,0.15
100363304124,0.14,,,802632731584,0.35
100363304119,1.3,,,802633044421,0.15
500043619411,9.9,,,880144116032061055,0.2
200172482277,0.43,,,560079881918,0.71
100363304105,1.2,,,802720829584,0.1
100360187131,0.36,,,802632797510,0.1
100363304122,0.32,,,802632923279,0.2
100363304128,1.0,,,100363334068,1.2
100360187127,0.13,,,802720947570,0.1
100363304115,0.34,,,802720946518,0.12
100363304097,1.46,,,802632740787,0.38
200172544459,0.3,,,880147870284102469,0.35
100363304123,0.68,,,8968322902,0.1
100363304096,1.06,,,802720913310,0.1
200172482386,0.41,,,802720971496,0.14
200172544173,0.3,,,880147956974102469,0.5
100363304109,0.32,,,802632796965,0.05
100363304615,0.12,,,100348095992,0.25
560093847481,31.36,,,880153383257425691,0.1
500043619412,28.49,,,802632923056,0.25
560093847493,0.05,,,100360187194,0.12
100363334958,0.11,,,560079894981,0.1
200172544450,0.3,,,802632744572,0.45
100360187421,0.06,,,100363326757,0.46
500132997374,0.19,,,802824901712,0.12
200172544501,0.17,,,802632869420,0.05
560093847495,0.26,,,802632795112,0.06
100360187422,0.06,,,802632935074,0.16
560093847494,0.35,,,880152082377283277,1.7
560079876479,0.06,,,802546974124,0.25
200172482420,0.46,,,802720842553,0.09
200172544179,0.29,,,802632933778,0.2
560079876475,0.06,,,802720939953,0.15
100348083691,0.78,,,802720945168,0.1
100374194873,0.95,,,100360188870,0.2
100360187420,0.06,,,100360197788,0.25
200171826197,0.07,,,802633070802,0.15
560079876595,0.06,,,500132958929,0.2
